,zc
0,nan
1,60640
2,60657
3,60601
4,60661
5,60610
6,60661
7,60661
8,60610
9,60696
10,60657
11,60654
12,60661
13,60661
14,60647
15,60606
16,60657
17,60606
18,60657
19,60654
20,nan
21,60606
22,nan
23,60613
24,60661
25,60606
26,60651
27,60606
28,60654
29,60606
30,60657
31,60657
32,60657
33,60647
34,60647
35,60661
36,60614
37,60610
38,60610
39,60607
40,60626
41,60661
42,60661
43,60607
44,60642
45,60618
46,60625
47,60605
48,60605
49,60625
50,60625
51,60625
52,60613
53,60661
54,60661
55,60657
56,60661
57,60602
58,60606
59,60606
60,60601
61,60601
62,60601
63,60647
64,60647
65,60611
66,60622
67,60611
68,60601
69,60647
70,60601
71,60601
72,60611
73,60601
74,60622
75,60651
76,60661
77,60616
78,60606
79,60616
80,60601
81,60606
82,60606
83,nan
84,60605
85,60601
86,60601
87,60657
88,nan
89,nan
90,60647
91,60696
92,60613
93,9020
94,nan
95,60647
96,60657
97,60657
98,60610
99,60614
100,60601
101,60661
102,60614
103,60661
104,60614
105,60614
106,60657
107,60610
108,60614
109,60610
110,60637
111,60637
112,60637
113,60601
114,60616
115,60601
116,60601
117,60601
118,60606
119,60607
120,60612
121,60607
122,60612
123,60620
124,60611
125,60640
126,60661
127,60644
128,60616
129,60616
130,60653
131,60653
132,60647
133,60622
134,60613
135,60613
136,60613
137,60202
138,60091
139,60606
140,60606
141,60661
142,60606
143,60622
144,60622
145,60654
146,60651
147,60645
148,60645
149,60613
150,60626
151,nan
152,60657
153,60604
154,60607
155,60601
156,60606
157,60607
158,60606
159,60601
160,60602
161,60610
162,60614
163,60610
164,60614
165,60613
166,60610
167,60614
168,60657
169,60657
170,60614
171,60610
172,60657
173,60614
174,60604
175,60602
176,60602
177,60604
178,60604
179,60604
180,60611
181,nan
182,60606
183,60606
184,60610
185,60622
186,60610
187,60610
188,60606
189,60657
190,60612
191,60610
192,60611
193,60625
194,nan
195,60601
196,60657
197,60645
198,60626
199,60626
200,60626
201,60613
202,60637
203,60618
204,60613
205,60657
206,60613
207,60613
208,60661
209,60606
210,60606
211,60613
212,60614
213,60614
214,60607
215,60607
216,60614
217,60610
218,60610
219,60622
220,60622
221,60610
222,60610
223,60622
224,60610
225,60622
226,60647
227,60603
228,60618
229,60601
230,60647
231,60647
232,60647
233,60626
234,60606
235,60614
236,60657
237,60642
238,60618-9997
239,60614
240,60606
241,nan
242,60606
243,60661
244,60606
245,60606
246,60660
247,60601
248,60661
249,60614
250,60614
251,60614
252,60610
253,60611
254,60614
255,60661
256,60610
257,60610
258,60657
259,60614
260,60625
261,60614
262,60610
263,60614
264,60616
265,60622
266,60657
267,60642
268,60608
269,nan
270,60654
271,60654
272,60604
273,60603
274,nan
275,60603
276,60606
277,nan
278,60605
279,60607
280,60603
281,60654
282,60601
283,60601
284,nan
285,60654
286,60654
287,60604
288,60610
289,60618
290,60640
291,60657
292,60615
293,60615
294,60614
295,60657
296,60614
297,60614
298,60614
299,60614
300,60616
301,60610
302,60610
303,60614
304,60647
305,60647
306,606476
307,60647
308,60610
309,606476
310,60647
311,60647
312,60622
313,60611
314,60647
315,60647
316,60611
317,nan
318,60607
319,60654
320,60611
321,60654
322,60611
323,60654
324,60611
325,60654
326,60661
327,60610
328,60654
329,60606
330,60661
331,60661
332,60606
333,60654
334,60661
335,60661
336,60654
337,60654
338,60661
339,60654
340,60647
341,nan
342,60661
343,60654
344,60661
345,60661
346,60614
347,60614
348,60604
349,60614
350,60614
351,60614
352,60614
353,60614
354,60607
355,60610
356,60606
357,60610
358,60606
359,60610
360,60613
361,60657
362,60610
363,606
364,60604
365,606
366,60613
367,60614
368,60613
369,60647
370,60647
